institute name,location,type,entrance exams,rank,fees(approx),
KLE Technological University (formerly BVB College of Engg),"Hubli, Karnataka",Deemed / Private,KCET / COMEDK,,,,
Kongu Engineering College,"Erode, Tamil Nadu",Private (Autonomous),TNEA,,,,
KPR Institute of Engineering and Technology,Tamil Nadu,,,,,,
KSR College of Technology,"Tiruchengode, Tamil Nadu",Private,TNEA,,,,
Kumaraguru College of Technology (KCT),"Coimbatore, Tamil Nadu",Private (Autonomous),TNEA,,,,
Kurukshetra University,Haryana,,,,,,
Lakireddy Bali Reddy College of Engineering (LBRCE),Andhra Pradesh,,,,,,
Lakshmi Narain College of Technology (LNCT),"Bhopal, Madhya Pradesh",Private (Autonomous),JEE Main,,,,
Lal Bahadur Shastri Institute of Technology for Women,"Trivandrum, Kerala",Government (Women-only),KEAM,,,,
Laxmi Devi Institute of Engineering and Technology,"Alwar, Rajasthan",Private,REAP / JEE,,,,
Laxmi Institute of Technology,"Valsad, Gujarat",Private,GUJCET / JEE Main,,,,
LBS Institute of Technology for Women (LBSITW),Kerala,Government,KEAM,,,,
Lendi Institute of Engineering and Technology,"Vizianagaram, Andhra Pradesh",Private,AP EAMCET,,,,
Lingaraj Appa Engineering College,"Bidar, Karnataka",Private,KCET,,,,
Lingaya's Vidyapeeth (formerly Lingaya's University),"Faridabad, Haryana",Deemed,JEE / CUET,,,,
Lord's Institute of Engineering and Technology,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Lovely Professional University (LPU),"Phagwara, Punjab",Private (Deemed),LPUNEST / JEE Main,50,,,
Loyola-ICAM College of Engineering and Technology (LICET),"Chennai, Tamil Nadu",Private (Jesuit),TNEA,,,,
M.Kumarasamy College of Engineering,"Karur, Tamil Nadu",Private,TNEA,,,,
Madan Mohan Malaviya Institute of Technology,Gorakhpur,,,84,,,
Madanapalle Institute of Technology & Science,Andhra Pradesh,,,,,,
Madras Institute of Technology (MIT - Anna University),"Chennai, Tamil Nadu",Govt.,TNEA (Merit-based),,,,
Maharaja Agrasen Institute of Technology (MAIT),Delhi,Private (Affiliated to GGSIPU),JEE Main,,,,
Maharaja Sayajirao University (Faculty of Technology & Engg.),"Vadodara, Gujarat",Government,GUJCET / JEE Main,,,,
Maharaja Surajmal Institute of Technology,Delhi,,,,,,
Maharashtra Institute of Technology,Maharashtra,,,,,,
Maharishi Markandeshwar (Deemed to be University),Haryana,,,,,,
"Maharshi Dayanand University, Rohtak",Haryana,,,,,,
Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for Women,Maharashtra,,,,,,
Mahatma Gandhi Institute of Technology (MGIT),"Hyderabad, Telangana",Private,TS EAMCET,,,,
Mahindra University,Telangana,,,,,,
Malaviya National Institute of Technology (MNIT),"Jaipur, Rajasthan",NIT (Govt.),JEE Main,43,,,
Malla Reddy College of Engineering & Technology,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Manav Rachna International Institute of Research and Studies,Haryana,,,,,,
Manipal Institute of Technology (MIT),"Manipal, Karnataka",Private (Deemed),MET / JEE Main,56,,,
Manipal University Jaipur,Rajasthan,,,64,,,
Maulana Abul Kalam Azad University of Technology,West Bengal,,,,,,
Maulana Azad National Institute of Technology (MANIT),"Bhopal, Madhya Pradesh",NIT (Govt.),JEE Main,72,,,
Maulana Azad National Urdu University,Telangana,,,,,,
Meerut Institute of Engineering and Technology (MIET),"Meerut, Uttar Pradesh",Private,JEE / UPCET,,,,
Mepco Schlenk Engineering College,"Sivakasi, Tamil Nadu",Private (Autonomous),TNEA,,,,
MIT World Peace University (MIT-WPU),"Pune, Maharashtra",Private (Deemed),JEE / MHT CET,,,,
MLR Institute of Technology,Telangana,,,,,,
MNIT Jaipur,Rajasthan,,,,,,
Motilal Nehru National Institute of Technology (MNNIT),"Prayagraj, Uttar Pradesh",NIT (Govt.),JEE Main,60,,,
MS Ramaiah Institute of Technology,Karnataka,,,75,,,
Muffakham Jah College of Engineering and Technology,"Hyderabad, Telangana",Private (Minority),TS EAMCET,,,,
Nagpur Institute of Technology (NIT),"Nagpur, Maharashtra",Private,MHT CET,,,,
Nalla Malla Reddy Engineering College,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Narasaraopeta Engineering College,"Guntur, Andhra Pradesh",Private,AP EAMCET,,,,
Narula Institute of Technology,West Bengal,,,,,,
National Engineering College (NEC),"Kovilpatti, Tamil Nadu",Private (Autonomous),TNEA,,,,
"National Institute of Advanced Manufacturing Technology, Ranchi",Jharkhand,,,,,,
"National Institute of Food Technology, Enterprenurship and Management",Haryana,,,,,,
"National Institute of Food Technology, Entrepreneurship and Management",Tamil Nadu,,,,,,
National Institute of Technical Teachers Training & Research,Tamil Nadu,,,,,,
National Institute of Technology  (NIT) Goa,Goa,,,,,,
National Institute of Technology (NIT) Agartala ,Tripura ,,,82,,,
National Institute of Technology (NIT) Arunachal Pradesh,Arunachal Pradesh,,,,,,
National Institute of Technology (NIT) Calicut,Kerala,Central Govt. (NIT),JEE Main,25,,,
National Institute of Technology (NIT) Delhi,Delhi,,,45,,,
National Institute of Technology (NIT) Durgapur,West Bengal,,,44,,,
National Institute of Technology (NIT) Hamirpur,Himachal Pradesh,,,,,,
National Institute of Technology (NIT) Jamshedpur,Jharkhand,,,,,,
National Institute of Technology (NIT) Kurukshetra,Haryana,Central Govt. (NIT),JEE Main,81,,,
National Institute of Technology (NIT) Manipur,Manipur,,,,,,
National Institute of Technology (NIT) Meghalaya,Meghalaya,Central Govt. (NIT),JEE Main,68,,,
National Institute of Technology (NIT) Mizoram,Mizoram,,,,,,
National Institute of Technology (NIT) Nagaland,Nagaland,,,,,,
National Institute of Technology (NIT) Nagpur,Maharashtra,,,,,,
National Institute of Technology (NIT) Patna ,Bihar,Central Govt. (NIT),JEE Main,55,,,
National Institute of Technology (NIT) Puducherry,Pondicherry,Central Govt. (NIT),JEE Main,97,,,
National Institute of Technology (NIT) Raipur,Chhattisgarh,Central Govt. (NIT),JEE Main,71,,,
National Institute of Technology (NIT) Rourkela,Odisha,Central Govt. (NIT),JEE Main,19,,,
National Institute of Technology (NIT) Sikkim,Sikkim,,,,,,
National Institute of Technology (NIT) Silchar,Assam,,,40,,,
National Institute of Technology (NIT) Srinagar,Jammu and Kashmir,Central Govt. (NIT),JEE Main,79,,,
National Institute of Technology (NIT) Surathkal,Karnataka,Central Govt. (NIT),JEE Main,17,,,
National Institute of Technology (NIT) Trichy,Tamil Nadu,Central Govt. (NIT),JEE Main,9,Govt-level fees (~?2?L/yr),,
National Institute of Technology (NIT) Uttarakhand,Uttarakhand,,,,,,
National Institute of Technology (NIT) Warangal,Telangana,Central Govt. (NIT),JEE Main,21,,,
Netaji Subhas University of Technology (NSUT),Delhi,State Govt. (Autonomous),JEE Main,57,,,
New Horizon College of Engineering,"Bengaluru, Karnataka",Private,COMEDK / KCET,,,,
NIIT University,"Neemrana, Rajasthan",Private,NUAT / JEE Main,,,,
Nirma University � Institute of Technology,"Ahmedabad, Gujarat",Private (Deemed),GUJCET / JEE Main,,,,
Nitte Meenakshi Institute of Technology,Karnataka,,,,,,
NMAM Institute of Technology,Karnataka,,,,,,
Noida Institute of Engineering and Technology (NIET),"Greater Noida, Uttar Pradesh",Private (AKTU Affiliated),JEE / UPCET,,,,
North Eastern Regional Institute of Science & Technology,Arunachal Pradesh,,,,,,
O.P. Jindal University � School of Engineering,"Raigarh, Chhattisgarh",Private,JEE / University Entrance,,,,
Om Institute of Technology and Management,"Hisar, Haryana",Private,JEE / HSTES,,,,
OmDayal Group of Institutions,"Howrah, West Bengal",Private,WBJEE / JEE Main,,,,
Oriental College of Technology,"Bhopal, Madhya Pradesh",Private,JEE Main,,,,
Oriental Institute of Science and Technology (OIST),"Bhopal, Madhya Pradesh",Private,JEE / MP BE Counselling,,,,
Orissa Engineering College (OEC),"Bhubaneswar, Odisha",Private,OJEE / JEE,,,,
Osmania University � College of Engineering (OUCE),"Hyderabad, Telangana",Government (Autonomous),TS EAMCET,,,,
Oxford College of Engineering,"Bengaluru, Karnataka",Private,COMEDK / KCET,,,,
Oxford Women's Engineering College,"Tiruchirappalli, Tamil Nadu",Private,TNEA,,,,
"P E S College of Engineering, Mandya",Karnataka,,,,,,
Padmashree Dr. D.Y. Patil Institute of Engineering,"Pune, Maharashtra",Private,MHT CET / JEE,,,,
Pandit Deendayal Energy University (PDEU),"Gandhinagar, Gujarat",Private,GUJCET / JEE Main,,,,
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",Madhya Pradesh,,,,,,
Panimalar Engineering College,"Chennai, Tamil Nadu",Private,TNEA,,,,
Panipat Institute of Engineering & Technology (PIET),"Panipat, Haryana",Private,JEE / HSTES,,,,
Panjab University,Punjab,,,,,,
Periyar Maniammai Institute of Science & Technology,"Thanjavur, Tamil Nadu",Deemed,CUET / JEE / 12th marks,,,,
PES University (PESU),"Bengaluru, Karnataka",Private (Deemed),PESSAT / KCET / JEE Main,,,,
Pimpri Chinchwad College of Engineering (PCCOE),"Pune, Maharashtra",Private,MHT CET,,,,
Pondicherry Engineering College,Puducherry,Government,CENTAC / JEE,,,,
Pragati Engineering College,"Surampalem, Andhra Pradesh",Private,AP EAMCET,,,,
Prasad V Potluri Siddhartha Institue of Technology,Andhra Pradesh,,,,,,
Prathyusha Engineering College,"Tiruvallur, Tamil Nadu",Private,TNEA,,,,
Prince Shri Venkateshwara Padmavathy Engineering College,Tamil Nadu,,,,,,
Priyadarshini College of Engineering,"Nagpur, Maharashtra",Private,MHT CET,,,,
PSG College of Technology,"Coimbatore, Tamil Nadu",Govt-Aided (Autonomous),TNEA,67,,,
"PSNA College of Engineering and Technology, Dindigul",Tamil Nadu,,,,,,
Pune Institute of Computer Technology (PICT),Maharashtra,,,,,,
Pune Institute of Computer Technology (PICT),"Pune, Maharashtra",Private,MHT CET,,,,
"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,,,,,,
PVP Siddhartha Institute of Technology,"Vijayawada, Andhra Pradesh",Private,AP EAMCET,,,,
QIS Institute of Technology,"Ongole, Andhra Pradesh",Private,AP EAMCET,,,,
Quaid-E-Millath Government College for Women,"Chennai, Tamil Nadu",Government,TNEA (limited technical programs),,,,
Queen Mary�s College (For Women � Science Programs),"Chennai, Tamil Nadu",Government,CUET / TANCET (PG),,,,
R. M. K. College of Engineering and Technology,Tamil Nadu,,,,,,
R.M.D Engineering College,Tamil Nadu,,,,,,
R.V. College of Engineering (RVCE),"Bengaluru, Karnataka",Private (Autonomous),KCET / COMEDK,99,,,
R.V. R. & J. C. College of Engineering,Andhra Pradesh,,,,,,
Rabindranath Tagore University,Madhya Pradesh,,,,,,
Raghu Engineering College,"Visakhapatnam, Andhra Pradesh",Private,AP EAMCET,,,,
Rajalakshmi Engineering College,"Chennai, Tamil Nadu",Private (Autonomous),TNEA,,,,
Rajasthan Technical University (RTU),"Kota, Rajasthan",State Govt.,REAP (JEE-based),,,,
Rajiv Gandhi Institute of Petroleum Technology (RGIPT),"Amethi, Uttar Pradesh",Govt. of India,JEE Advanced,80,,,
Rajiv Gandhi Institute of Technology (RIT),"Kottayam, Kerala",Government,KEAM,,,,
Rathinam Technical Campus,Tamil Nadu,,,,,,
Rayat Bahra University � School of Engineering,"Mohali, Punjab",Private,JEE / Own Test,,,,
Reva University � School of Engineering,"Bengaluru, Karnataka",Private (Deemed),REVA CET / JEE / KCET,,,,
RK University � School of Engineering,"Rajkot, Gujarat",Private,GUJCET / JEE,,,,
RNS Institute of Technology,"Bengaluru, Karnataka",Private,KCET / COMEDK,,,,
Rungta College of Engineering and Technology,"Bhilai, Chhattisgarh",Private,CGPET / JEE Main,,,,
Sant Longowal Institute of Engineering and Technology ,"Longowal, Punjab",,,76,,,
Sardar Vallabhbhai National Institute of Technology (SVNIT),"Surat, Gujarat",NIT (Govt.),JEE Main,59,,,
SASTRA Deemed University,"Thanjavur, Tamil Nadu",Deemed,JEE Main / 12th Marks,,,,
Sathyabama Institute of Science and Technology,"Chennai, Tamil Nadu",Deemed,SAEEE / JEE Main,66,,,
Saveetha Engineering College,"Chennai, Tamil Nadu",Private,TNEA,53,,,
Shanmugha Arts Science Technology and Research Academy ,"Thanjavur, Tamil Nadu",,,38,,,
Sharda University � School of Engineering,"Greater Noida, Uttar Pradesh",Private,SUAT / JEE Main / CUET,,,,
Shiv Nadar University,"Greater Noida, Uttar Pradesh",Private (Deemed),SNUSAT / JEE Main,,,,
Shivaji University,Maharashtra,,,,,,
Shoolini University of Biotechnology and Management Sciences," Solan, Himachal Pradesh",,,92,,,
Shri G. S. Institute of Technology & Science,Madhya Pradesh,,,,,,
Shri Mata Vaishno Devi University,Jammu and Kashmir,,,,,,
Shri Ramdeobaba College of Engineering and Management,Maharashtra,,,,,,
Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,Maharashtra,,,,,,
Siddaganga Institute of Technology (SIT),"Tumkur, Karnataka",Private (Autonomous),KCET / COMEDK,100,,,
Sikkim Manipal Institute of Technology (SMIT),Sikkim,,,,,,
Siksha �O� Anusandhan,Odisha,,JEE Main / SOA Entrance,26,?7�8?L,,
"Silicon Institute of Technology (SIT), Bhubaneswar",Odisha,,,,,,
SNS College of Technology,Tamil Nadu,,,,,,
Sona College of Technology,"Salem, Tamil Nadu",Private (Autonomous),TNEA,,,,
SR University,"Warangal, Telangana",,,98,,,
Sree Vidyanikethan Engineering College,Andhra Pradesh,,,,,,
Sreenidhi Institute of Science and Technology (SNIST),"Hyderabad, Telangana",Private,TS EAMCET,,,,
Sri Eshwar College of Engineering,Tamil Nadu,,,,,,
Sri Krishna College of Engineering and Technology (SKCET),"Coimbatore, Tamil Nadu",Private (Autonomous),TNEA,83,,,
Sri Manakula Vinayagar Engineering College,Pondicherry,,,,,,
Sri Ramakrishna Engineering College,Tamil Nadu,,,,,,
Sri Sai Ram Engineering College,Tamil Nadu,,,,,,
Sri Sivasubramaniya Nadar (SSN) College of Engineering,"Chennai, Tamil Nadu",Private (Autonomous),TNEA,46,,,
Sri Venkateswara College of Engineering (SVCE),"Chennai, Tamil Nadu",Private (Autonomous),TNEA,,,,
Sri Venkateswara College of Engineering and Technology,Andhra Pradesh,,,,,,
"Sri Venkateswara College of Engineering, Tirupati",Andhra Pradesh,,,,,,
SRIHER (Sri Ramachandra Institute of Higher Education & Research),"Chennai, Tamil Nadu",Deemed,NEET / JEE Main (Engineering),,,,
SRM Institute of Science and Technology � NCR Campus,Uttar Pradesh,,,,,,
SRM Institute of Science and Technology (SRMIST),"Chennai, Tamil Nadu",Deemed,SRMJEEE / JEE Main,13,,,
St. Joseph's College of Engineering,"Chennai, Tamil Nadu",Private,TNEA,,,,
SVKM`s Narsee Monjee Institute of Management Studies,Maharashtra,,,,,,
T John Institute of Technology,"Bengaluru, Karnataka",Private,COMEDK / KCET,,,,
Tagore Engineering College,"Chennai, Tamil Nadu",Private,TNEA,,,,
Tamil Nadu College of Engineering,"Coimbatore, Tamil Nadu",Private,TNEA,,,,
Techno India University / Techno India Engineering Colleges,West Bengal,Private,WBJEE / JEE Main,,,,
Tezpur University � Department of Engineering,Assam,Central Govt.,JEE Main,,,,
Thakur College of Engineering and Technology (TCET),"Mumbai, Maharashtra",Private,MHT CET,,,,
Thapar Institute of Engineering & Technology,Punjab,,JEE Main / TITSAT,29,?8�9?L,,
"The LNM Institute of Information Technology, Jaipur",Rajasthan,,,,,,
The Northcap University,Haryana,,,,,,
Thiagarajar College of Engineering (TCE),"Madurai, Tamil Nadu",Govt-Aided (Autonomous),TNEA (12th-based),,,,
TKM College of Engineering,"Kollam, Kerala",Government Aided,KEAM,,,,
Toc H Institute of Science and Technology,"Ernakulam, Kerala",Private,KEAM,,,,
Trident Academy of Technology,"Bhubaneswar, Odisha",Private,OJEE / JEE Main,,,,
Trinity College of Engineering and Technology,Telangana,Private,TS EAMCET,,,,
Tripura Institute of Technology (TIT),Tripura,Government,JEE Main / TBJEE,,,,
"University College of Engineering (UCE), Osmania University","Hyderabad, Telangana",Government (Autonomous),TS EAMCET,,,,
"University College of Engineering, Kakatiya University","Warangal, Telangana",Government,TS EAMCET,,,,
University Institute of Chemical Technology,Maharashtra,,,,,,
"University Institute of Engineering and Technology (UIET), Kurukshetra University",Haryana,Government,JEE Main,,,,
"University Institute of Engineering and Technology (UIET), Panjab University",Chandigarh,Government,JEE Main,,,,
"University Institute of Technology (UIT), RGPV Bhopal",Madhya Pradesh,Government,JEE Main / MP BE,,,,
University of Allahabad,Uttar Pradesh,,,,,,
University of Hyderabad � School of Engineering Sciences and Technology,"Hyderabad, Telangana",Central University,JEE Main / CUET,70,,,
University Visvesvaraya College of Engineering (UVCE),"Bengaluru, Karnataka",Government,KCET,,,,
UPES (University of Petroleum and Energy Studies),Uttarakhand,,,42,,,
Usha Mittal Institute of Technology (For Women),"Mumbai, Maharashtra",Government (SNDT University),MHT CET,,,,
Usha Rama College of Engineering and Technology,Andhra Pradesh,Private,AP EAMCET,,,,
Uttarakhand Technical University � Affiliated Colleges,Uttarakhand,Government,JEE Main / UKSEE,,,,
Vaagdevi College of Engineering,"Warangal, Telangana",Private,TS EAMCET,,,,
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,Telangana,,,,,,
Vardhaman College of Engineering,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Vasavi College of Engineering,"Hyderabad, Telangana",Private (Autonomous),TS EAMCET,,,,
Veer Surendra Sai University of Technology,Odisha,,,,,,
Veermata Jijabai Technological Institute (VJTI),"Mumbai, Maharashtra",Govt. (Autonomous),MHT CET,,,,
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,"Chennai, Tamil Nadu",Deemed,VTUEEE / JEE,86,,,
Velagapudi Ramakrishna Siddhartha Engineering College,Andhra Pradesh,,,,,,
Velammal Engineering College,"Chennai, Tamil Nadu",Private,TNEA,,,,
Vellore Institute of Technology (VIT),"Vellore, Tamil Nadu",Deemed (Private),VITEEE / JEE Main,11,,,
Vels Institute of Science Technology and Advanced Studies (VISTAS),Tamil Nadu,,,,,,
VEMU Institute of Technology,"Tirupati, Andhra Pradesh",Private,AP EAMCET,,,,
Vidya Academy of Science and Technology,"Thrissur, Kerala",Private,KEAM,,,,
Vidya Jyothi Institute of Technology,Telangana,,,,,,
Vidya Vikas Institute of Engineering and Technology,"Mysuru, Karnataka",Private,KCET / COMEDK,,,,
Vidyalankar Institute of Technology,"Mumbai, Maharashtra",Private,MHT CET,,,,
Vignan Institute of Technology and Science,Telangana,,,,,,
Vignan`s Institute of Information Technology,Andhra Pradesh,,,,,,
"Vignan�s Foundation for Science, Tech & Research","Guntur, Andhra Pradesh",Deemed,V-SAT / JEE / AP EAMCET,91,,,
Vishwakarma Institute of Technology,Maharashtra,,,,,,
Vishwakarma Institute of Technology (VIT Pune),"Pune, Maharashtra",Private (Autonomous),MHT CET,,,,
Visvesvaraya National Institute of Technology,"Nagpur, Maharashtra",,,39,,,
Visvesvaraya Technological University,Karnataka ,Central Govt. (NIT),JEE Main,69,,,
VIT Vellore,Tamil Nadu,Private,VITEEE ,,?8?L,,
VIT-AP University,Andhra Pradesh,Private,VITEEE ,,,,
Vivekananda Institute of Technology (VIT Jaipur),Rajasthan,Private,REAP / JEE Main,,,,
VNR Vignana Jyothi Institute of Engineering & Technology,"Hyderabad, Telangana",Private (Autonomous),TS EAMCET,,,,
Walchand College of Engineering (WCE),"Sangli, Maharashtra",Govt. (Autonomous),MHT CET,,,,
Walchand Institute of Technology (WIT),"Solapur, Maharashtra",Private (Autonomous),MHT CET / JEE Main,,,,
West Bengal University of Technology � Affiliated Colleges,"Kolkata, WB",Govt.,WBJEE,,,,
Winsoft College of Engineering,"Aurangabad, Maharashtra",Private,MHT CET,,,,
Wisdom School of Management and Technology,"Hyderabad, Telangana",Private,TS EAMCET,,,,
Women�s Christian College � Dept. of Physical Sciences,"Chennai, Tamil Nadu",Govt. Aided,CUET / TNEA (non-engineering focused),,,,
World College of Technology and Management (WCTM),"Gurgaon, Haryana",Private,JEE / HSTES,,,,
Woxsen University � School of Technology,"Hyderabad, Telangana",Private (Deemed),JEE / Woxsen Aptitude Test,,,,
Yashwantrao Bhonsale Polytechnic / College of Engineering,"Sawantwadi, Maharashtra",Private,MHT CET / DTE CAP,,,,
YBN University � Faculty of Engineering,"Ranchi, Jharkhand",Private,Direct Admission / JEE,,,,
Yeshwantrao Chavan College of Engineering (YCCE),"Nagpur, Maharashtra",Private (Autonomous),MHT CET / JEE Main,,,,
Yogananda Institute of Technology and Science,"Tirupati, Andhra Pradesh",Private,AP EAMCET,,,,
Younus College of Engineering and Technology,"Kollam, Kerala",Private (Self-financed),KEAM,,,,
Zakir Husain College of Engineering and Technology (ZHCET),"Aligarh, Uttar Pradesh",Govt.-aided (AMU),AMUEEE,,,,
ZCOER � Zeal College of Engineering and Research,"Pune, Maharashtra",Private,MHT CET / JEE Main,,,,
Zion College of Engineering and Technology,"Ambasamudram, Tamil Nadu",Private,TNEA,,,,
Zulekha College of Engineering and Technology,"Nagpur, Maharashtra",Private,MHT CET / JEE Main,,,,
,,,,,,,
